[DEBUG] 2021-10-17 18:56:26.735 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-10-17 18:56:26.743 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-10-17 18:56:26.749 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-10-17 18:56:26.827 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-10-17 18:56:26.830 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-10-17 18:56:27.012 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-10-17 18:56:27.323 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-10-17 18:56:27.348 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-10-17 18:56:27.349 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-10-17 18:56:27.369 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-10-17 18:56:27.387 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@129fed45
[DEBUG] 2021-10-17 18:56:27.387 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@129fed45
[DEBUG] 2021-10-17 18:56:27.388 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@129fed45
[DEBUG] 2021-10-17 18:56:27.388 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@11b377c5
[DEBUG] 2021-10-17 18:56:27.388 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@702c436b
[DEBUG] 2021-10-17 18:56:27.393 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@31d6f3fe
[DEBUG] 2021-10-17 18:56:27.393 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5c73f672
[DEBUG] 2021-10-17 18:56:27.393 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5c73f672
[DEBUG] 2021-10-17 18:56:27.394 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5c73f672
[DEBUG] 2021-10-17 18:56:27.395 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7a34f66a
[DEBUG] 2021-10-17 18:56:27.395 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7a34f66a
[DEBUG] 2021-10-17 18:56:27.395 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7a34f66a
[DEBUG] 2021-10-17 18:56:27.396 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2459319c
[DEBUG] 2021-10-17 18:56:27.397 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2459319c
[DEBUG] 2021-10-17 18:56:27.397 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2459319c
[DEBUG] 2021-10-17 18:56:27.397 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7808f638
[DEBUG] 2021-10-17 18:56:27.397 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7808f638
[DEBUG] 2021-10-17 18:56:27.400 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7808f638
[DEBUG] 2021-10-17 18:56:27.400 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3db663d0
[DEBUG] 2021-10-17 18:56:27.400 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3db663d0
[DEBUG] 2021-10-17 18:56:27.400 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@3db663d0
[DEBUG] 2021-10-17 18:56:27.407 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5524b72f
[DEBUG] 2021-10-17 18:56:27.407 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5524b72f
[DEBUG] 2021-10-17 18:56:27.407 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5524b72f
[DEBUG] 2021-10-17 18:56:27.408 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4e6f2bb5
[DEBUG] 2021-10-17 18:56:27.408 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4e6f2bb5
[DEBUG] 2021-10-17 18:56:27.408 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4e6f2bb5
[DEBUG] 2021-10-17 18:56:27.408 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6cd166b8
[DEBUG] 2021-10-17 18:56:27.409 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6cd166b8
[DEBUG] 2021-10-17 18:56:27.410 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3abfe845
[DEBUG] 2021-10-17 18:56:27.411 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3abfe845
[DEBUG] 2021-10-17 18:56:27.412 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@24b4d544
[DEBUG] 2021-10-17 18:56:27.412 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@24b4d544
[DEBUG] 2021-10-17 18:56:27.412 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@72725ee1
[DEBUG] 2021-10-17 18:56:27.413 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@5ac6c4f2
[DEBUG] 2021-10-17 18:56:27.413 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@78525ef9
[DEBUG] 2021-10-17 18:56:27.413 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@78525ef9
[DEBUG] 2021-10-17 18:56:27.415 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@350a94ce
[DEBUG] 2021-10-17 18:56:27.415 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@350a94ce
[DEBUG] 2021-10-17 18:56:27.419 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@7a904f32
[DEBUG] 2021-10-17 18:56:27.419 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@7a904f32
[DEBUG] 2021-10-17 18:56:27.420 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@4339e0de
[DEBUG] 2021-10-17 18:56:27.420 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@4339e0de
[DEBUG] 2021-10-17 18:56:27.421 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@27b2faa6
[DEBUG] 2021-10-17 18:56:27.421 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@27b2faa6
[DEBUG] 2021-10-17 18:56:27.421 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@75a118e6
[DEBUG] 2021-10-17 18:56:27.423 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@75a118e6
[DEBUG] 2021-10-17 18:56:27.424 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6bda1d19
[DEBUG] 2021-10-17 18:56:27.424 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6bda1d19
[DEBUG] 2021-10-17 18:56:27.427 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@6794ac0b
[DEBUG] 2021-10-17 18:56:27.427 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@6794ac0b
[DEBUG] 2021-10-17 18:56:27.428 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@46a953cf
[DEBUG] 2021-10-17 18:56:27.428 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@46a953cf
[DEBUG] 2021-10-17 18:56:27.429 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@40712ee9
[DEBUG] 2021-10-17 18:56:27.429 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@40712ee9
[DEBUG] 2021-10-17 18:56:27.429 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@53b8afea
[DEBUG] 2021-10-17 18:56:27.429 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@53b8afea
[DEBUG] 2021-10-17 18:56:27.430 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@16eedaa6
[DEBUG] 2021-10-17 18:56:27.430 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@16eedaa6
[DEBUG] 2021-10-17 18:56:27.430 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@16eedaa6
[DEBUG] 2021-10-17 18:56:27.432 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@341672e
[DEBUG] 2021-10-17 18:56:27.432 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@3f9f71ff
[DEBUG] 2021-10-17 18:56:27.432 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@3f9f71ff
[DEBUG] 2021-10-17 18:56:27.432 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@3f9f71ff
[DEBUG] 2021-10-17 18:56:27.433 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@523d6bdb
[DEBUG] 2021-10-17 18:56:27.433 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@2cfa2c4f
[DEBUG] 2021-10-17 18:56:27.434 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@2cfa2c4f
[DEBUG] 2021-10-17 18:56:27.434 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@5e2a3040
[DEBUG] 2021-10-17 18:56:27.435 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@5e2a3040
[DEBUG] 2021-10-17 18:56:27.439 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@5bb51241
[DEBUG] 2021-10-17 18:56:27.439 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@5bb51241
[DEBUG] 2021-10-17 18:56:27.439 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@6c42f2a1
[DEBUG] 2021-10-17 18:56:27.440 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@6c42f2a1
[DEBUG] 2021-10-17 18:56:27.440 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@4867ab9f
[DEBUG] 2021-10-17 18:56:27.440 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@4867ab9f
[DEBUG] 2021-10-17 18:56:27.440 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@2caa5d7c
[DEBUG] 2021-10-17 18:56:27.441 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@3e1a3801
[DEBUG] 2021-10-17 18:56:27.441 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@3e1a3801
[DEBUG] 2021-10-17 18:56:27.441 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@3e1a3801
[DEBUG] 2021-10-17 18:56:27.441 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@61a1ea2c
[DEBUG] 2021-10-17 18:56:27.441 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@61a1ea2c
[DEBUG] 2021-10-17 18:56:27.442 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@61a1ea2c
[DEBUG] 2021-10-17 18:56:27.442 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@670d4d38
[DEBUG] 2021-10-17 18:56:27.442 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@2e060819
[DEBUG] 2021-10-17 18:56:27.443 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@216914
[DEBUG] 2021-10-17 18:56:27.443 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@216914
[DEBUG] 2021-10-17 18:56:27.443 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@216914
[DEBUG] 2021-10-17 18:56:27.443 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@61af1510
[DEBUG] 2021-10-17 18:56:27.444 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@61af1510
[DEBUG] 2021-10-17 18:56:27.444 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@61af1510
[DEBUG] 2021-10-17 18:56:27.444 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@59901c4d
[DEBUG] 2021-10-17 18:56:27.447 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@602ae7b6
[DEBUG] 2021-10-17 18:56:27.448 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@77eb5790
[DEBUG] 2021-10-17 18:56:27.448 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@77eb5790
[DEBUG] 2021-10-17 18:56:27.448 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@ef1695a
[DEBUG] 2021-10-17 18:56:27.452 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@4d8286c4
[DEBUG] 2021-10-17 18:56:27.452 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@4d8286c4
[DEBUG] 2021-10-17 18:56:27.452 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@2f61d591
