[DEBUG] 2021-12-02 21:30:12.622 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-02 21:30:12.628 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-02 21:30:12.632 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-02 21:30:12.734 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-02 21:30:12.738 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-02 21:30:12.993 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-02 21:30:13.278 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-02 21:30:13.304 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-02 21:30:13.304 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-12-02 21:30:13.325 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-12-02 21:30:13.358 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@205bed61
[DEBUG] 2021-12-02 21:30:13.358 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@205bed61
[DEBUG] 2021-12-02 21:30:13.358 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@205bed61
[DEBUG] 2021-12-02 21:30:13.358 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7c2b58c0
[DEBUG] 2021-12-02 21:30:13.359 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7a2b1eb4
[DEBUG] 2021-12-02 21:30:13.359 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@23f3dbf0
[DEBUG] 2021-12-02 21:30:13.359 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@165e389b
[DEBUG] 2021-12-02 21:30:13.364 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@165e389b
[DEBUG] 2021-12-02 21:30:13.365 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@165e389b
[DEBUG] 2021-12-02 21:30:13.365 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@71f0b72e
[DEBUG] 2021-12-02 21:30:13.365 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@71f0b72e
[DEBUG] 2021-12-02 21:30:13.366 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@71f0b72e
[DEBUG] 2021-12-02 21:30:13.367 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3681037
[DEBUG] 2021-12-02 21:30:13.367 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3681037
[DEBUG] 2021-12-02 21:30:13.367 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3681037
[DEBUG] 2021-12-02 21:30:13.367 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@4f3e7344
[DEBUG] 2021-12-02 21:30:13.367 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@4f3e7344
[DEBUG] 2021-12-02 21:30:13.367 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4f3e7344
[DEBUG] 2021-12-02 21:30:13.368 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@782bf610
[DEBUG] 2021-12-02 21:30:13.372 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@782bf610
[DEBUG] 2021-12-02 21:30:13.373 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@782bf610
[DEBUG] 2021-12-02 21:30:13.373 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@10895b16
[DEBUG] 2021-12-02 21:30:13.373 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@10895b16
[DEBUG] 2021-12-02 21:30:13.373 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@10895b16
[DEBUG] 2021-12-02 21:30:13.374 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3b9632d1
