[DEBUG] 2021-12-15 18:34:17.859 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-15 18:34:17.861 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-15 18:34:17.869 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-15 18:34:17.956 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-15 18:34:17.958 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-15 18:34:18.159 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-15 18:34:18.671 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-15 18:34:18.684 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-15 18:34:18.686 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-12-15 18:34:18.722 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-12-15 18:34:18.763 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@21de60a7
[DEBUG] 2021-12-15 18:34:18.763 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@21de60a7
[DEBUG] 2021-12-15 18:34:18.763 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@21de60a7
[DEBUG] 2021-12-15 18:34:18.763 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@28157173
[DEBUG] 2021-12-15 18:34:18.764 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3c232051
[DEBUG] 2021-12-15 18:34:18.768 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@52454457
[DEBUG] 2021-12-15 18:34:18.769 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3aed69dd
[DEBUG] 2021-12-15 18:34:18.769 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3aed69dd
[DEBUG] 2021-12-15 18:34:18.769 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3aed69dd
[DEBUG] 2021-12-15 18:34:18.771 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7bbfc5ff
[DEBUG] 2021-12-15 18:34:18.771 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7bbfc5ff
[DEBUG] 2021-12-15 18:34:18.775 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7bbfc5ff
[DEBUG] 2021-12-15 18:34:18.776 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@62b09715
[DEBUG] 2021-12-15 18:34:18.776 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@62b09715
[DEBUG] 2021-12-15 18:34:18.776 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@62b09715
[DEBUG] 2021-12-15 18:34:18.777 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@39941489
[DEBUG] 2021-12-15 18:34:18.777 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@39941489
[DEBUG] 2021-12-15 18:34:18.777 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@39941489
[DEBUG] 2021-12-15 18:34:18.777 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4538856f
[DEBUG] 2021-12-15 18:34:18.777 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4538856f
[DEBUG] 2021-12-15 18:34:18.778 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4538856f
[DEBUG] 2021-12-15 18:34:18.778 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7f79edee
[DEBUG] 2021-12-15 18:34:18.778 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7f79edee
[DEBUG] 2021-12-15 18:34:18.781 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7f79edee
[DEBUG] 2021-12-15 18:34:18.781 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2f677247
[DEBUG] 2021-12-15 18:34:18.781 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2f677247
[DEBUG] 2021-12-15 18:34:18.782 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2f677247
[DEBUG] 2021-12-15 18:34:18.782 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@78307a56
[DEBUG] 2021-12-15 18:34:18.782 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@78307a56
[DEBUG] 2021-12-15 18:34:18.783 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@47b269c4
[DEBUG] 2021-12-15 18:34:18.783 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@47b269c4
[DEBUG] 2021-12-15 18:34:18.783 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@6579cdbb
[DEBUG] 2021-12-15 18:34:18.783 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@6579cdbb
[DEBUG] 2021-12-15 18:34:18.788 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@4451f60c
[DEBUG] 2021-12-15 18:34:18.789 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@3730f716
[DEBUG] 2021-12-15 18:34:18.790 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@72443081
[DEBUG] 2021-12-15 18:34:18.790 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@72443081
[DEBUG] 2021-12-15 18:34:18.791 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@67e0ff3a
[DEBUG] 2021-12-15 18:34:18.791 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@67e0ff3a
